I/O Type Specific,Terminal Style,Rung Placement,Labeling Scheme,Notes,Default Standard,Terminal Style Definition,Term Brand,IT or MT,Fusing,Card Power Term L1,Card Power Term L2,Term Short Name
DCI,Fj;L&Te2j&Lc|TE|24V,0;1&2&0,#A;#B&#C&C,,,Fj;L&Te2j&Lc|TE|24V|0;1&2&0|#A;#B&#C&C,TE,MT&IT,Fused,No,Yes,TBD
DCI,Fj;L&Te2j&Lc|WAGO|24V,0;1&2&0,#A;#B&#C&C,,,Fj;L&Te2j&Lc|WAGO|24V|0;1&2&0|#A;#B&#C&C,WAGO,MT&IT,Fused,No,Yes,TBD
DCI,Fj;L&Te2j|PXC|24V,0;1&2,#A;#B&#C,,,Fj;L&Te2j|PXC|24V|0;1&2|#A;#B&#C,PXC,MT&IT,Fused,No,No,TBD
DCI,Fj;L&Te2j|TE|24V,0;1&2,#A;#B&#C,,,Fj;L&Te2j|TE|24V|0;1&2|#A;#B&#C,TE,MT&IT,Fused,No,No,TBD
DCI,Fj;L&Te2j|WAGO|24V,0;1&2,#A;#B&#C,,,Fj;L&Te2j|WAGO|24V|0;1&2|#A;#B&#C,WAGO,MT&IT,Fused,No,No,TBD
DCI,Fj;L|PXC|24V,0;1,#A;#B,,,Fj;L|PXC|24V|0;1|#A;#B,PXC,MT,Fused,No,No,TBD
DCI,Fj;L|TE|24V,0;1,#A;#B,,,Fj;L|TE|24V|0;1|#A;#B,TE,MT,Fused,No,No,TBD
DCI,Fj;L|WAGO|24V,0;1,#A;#B,,,Fj;L|WAGO|24V|0;1|#A;#B,WAGO,MT,Fused,No,No,TBD
DCI,L&Lc|PXC|24V,1&0,#&C,,,L&Lc|PXC|24V|1&0|#&C,PXC,IT,None,No,Yes,TBD
DCI,L&Lc|PXC|24V,1&0,#&C,,,L&Lc|PXC|24V|1&0|#&C,PXC,IT,None,No,Yes,TBD
